February Bering Sea Sea Ice Area (1979-2025)
Units: million square km
1991-2020 Mean,0.60
Date,Value,Anomaly
197902,0.46,-0.14
198002,0.70,0.10
198102,0.64,0.04
198202,0.48,-0.12
198302,0.67,0.07
198402,0.71,0.11
198502,0.39,-0.21
198602,0.55,-0.05
198702,0.61,0.01
198802,0.56,-0.04
198902,0.42,-0.18
199002,0.73,0.13
199102,0.79,0.19
199202,0.64,0.04
199302,0.60,0.00
199402,0.50,-0.10
199502,0.78,0.18
199602,0.52,-0.08
199702,0.63,0.03
199802,0.83,0.23
199902,0.71,0.11
200002,0.65,0.05
200102,0.37,-0.23
200202,0.80,0.20
200302,0.54,-0.06
200402,0.56,-0.04
200502,0.52,-0.08
200602,0.63,0.03
200702,0.49,-0.11
200802,0.74,0.14
200902,0.75,0.15
201002,0.74,0.14
201102,0.59,-0.01
201202,0.83,0.23
201302,0.79,0.19
201402,0.49,-0.11
201502,0.46,-0.14
201602,0.50,-0.10
201702,0.44,-0.16
201802,0.21,-0.39
201902,0.29,-0.31
202002,0.61,0.01
202102,0.50,-0.10
202202,0.67,0.07
202302,0.55,-0.05
202402,0.54,-0.06
202502,0.39,-0.21
