srvy,station,bt,date,vessel_name,notes
EBS,F-14,5.23,5/31/2025,Alaska Knight,
EBS,G-15,5.52,5/31/2025,Alaska Knight,
EBS,G-14,4.50,5/31/2025,Northwest Explorer,
EBS,H-15,4.90,5/31/2025,Northwest Explorer,
EBS,I-15,5.00,5/31/2025,Northwest Explorer,
EBS,H-16,5.74,6/1/2025,Alaska Knight,
EBS,I-16,5.61,6/1/2025,Alaska Knight,
EBS,J-16,5.61,6/1/2025,Alaska Knight,
EBS,K-14,5.86,6/1/2025,Northwest Explorer,
EBS,H-14,4.68,6/2/2025,Alaska Knight,
EBS,I-14,4.92,6/2/2025,Alaska Knight,
EBS,J-14,5.20,6/2/2025,Alaska Knight,
EBS,J-15,5.39,6/2/2025,Alaska Knight,
EBS,J-12,4.79,6/2/2025,Northwest Explorer,
EBS,J-13,4.91,6/2/2025,Northwest Explorer,
EBS,K-12,5.75,6/2/2025,Northwest Explorer,
EBS,K-13,5.25,6/2/2025,Northwest Explorer,
EBS,E-12,4.78,6/3/2025,Alaska Knight,
EBS,F-13,4.66,6/3/2025,Alaska Knight,
EBS,G-13,4.40,6/3/2025,Alaska Knight,
EBS,H-13,4.40,6/3/2025,Alaska Knight,
EBS,G-12,4.42,6/3/2025,Northwest Explorer,
EBS,H-12,4.21,6/3/2025,Northwest Explorer,
EBS,I-12,4.35,6/3/2025,Northwest Explorer,
EBS,I-13,4.65,6/3/2025,Northwest Explorer,
EBS,D-10,4.99,6/4/2025,Alaska Knight,
EBS,E-10,4.28,6/4/2025,Alaska Knight,
EBS,F-10,4.02,6/4/2025,Alaska Knight,
EBS,G-10,4.17,6/4/2025,Alaska Knight,
EBS,E-11,4.72,6/4/2025,Northwest Explorer,
EBS,F-11,4.04,6/4/2025,Northwest Explorer,
EBS,F-12,4.49,6/4/2025,Northwest Explorer,
EBS,G-11,4.26,6/4/2025,Northwest Explorer,
EBS,H-10,4.14,6/5/2025,Alaska Knight,
EBS,I-10,4.50,6/5/2025,Alaska Knight,
EBS,J-10,4.7,6/5/2025,Alaska Knight,
EBS,K-10,5.00,6/5/2025,Alaska Knight,
EBS,H-11,4.35,6/5/2025,Northwest Explorer,
EBS,I-11,4.28,6/5/2025,Northwest Explorer,
EBS,J-11,4.68,6/5/2025,Northwest Explorer,
EBS,K-11,4.93,6/5/2025,Northwest Explorer,
EBS,J-08,4.17,6/6/2025,Alaska Knight,
EBS,K-08,4.55,6/6/2025,Alaska Knight,
EBS,L-08,4.81,6/6/2025,Alaska Knight,
EBS,M-08,4.16,6/6/2025,Alaska Knight,
EBS,I-09,4.21,6/6/2025,Northwest Explorer,
EBS,J-09,4.42,6/6/2025,Northwest Explorer,
EBS,K-09,4.96,6/6/2025,Northwest Explorer,
EBS,L-09,4.96,6/6/2025,Northwest Explorer,
EBS,F-08,3.64,6/7/2025,Alaska Knight,
EBS,G-08,3.85,6/7/2025,Alaska Knight,
EBS,H-08,3.55,6/7/2025,Alaska Knight,
EBS,I-08,3.83,6/7/2025,Alaska Knight,
EBS,E-09,4.63,6/7/2025,Northwest Explorer,
EBS,F-09,3.93,6/7/2025,Northwest Explorer,
EBS,G-09,3.85,6/7/2025,Northwest Explorer,
EBS,H-09,4.00,6/7/2025,Northwest Explorer,
EBS,B-07,4.26,6/8/2025,Alaska Knight,
EBS,C-07,3.75,6/8/2025,Alaska Knight,
EBS,D-08,3.95,6/8/2025,Alaska Knight,
EBS,E-08,4.06,6/8/2025,Alaska Knight,
EBS,B-08,5.39,6/8/2025,Northwest Explorer,
EBS,C-08,4.18,6/8/2025,Northwest Explorer,
EBS,C-09,5.53,6/8/2025,Northwest Explorer,
EBS,D-09,4.36,6/8/2025,Northwest Explorer,
EBS,A-06,5.26,6/9/2025,Alaska Knight,
EBS,B-06,4.26,6/9/2025,Alaska Knight,
EBS,C-06,3.97,6/9/2025,Alaska Knight,
EBS,D-06,3.12,6/9/2025,Alaska Knight,
EBS,D-07,3.49,6/9/2025,Northwest Explorer,
EBS,E-07,3.65,6/9/2025,Northwest Explorer,
EBS,F-07,3.74,6/9/2025,Northwest Explorer,
EBS,G-07,3.41,6/9/2025,Northwest Explorer,
EBS,H-07,3.61,6/10/2025,Northwest Explorer,
EBS,I-07,3.62,6/10/2025,Northwest Explorer,
EBS,E-06,2.82,6/11/2025,Alaska Knight,
EBS,F-06,2.96,6/11/2025,Alaska Knight,
EBS,G-06,3.37,6/11/2025,Alaska Knight,
EBS,H-06,3.28,6/11/2025,Alaska Knight,
EBS,J-07,3.89,6/11/2025,Northwest Explorer,
EBS,K-07,4.24,6/11/2025,Northwest Explorer,
EBS,I-05,3.12,6/12/2025,Alaska Knight,
EBS,I-06,3.43,6/12/2025,Alaska Knight,
EBS,J-05,3.03,6/12/2025,Alaska Knight,
EBS,J-06,3.80,6/12/2025,Alaska Knight,
EBS,L-07,4.78,6/12/2025,Northwest Explorer,
EBS,M-07,4.01,6/12/2025,Northwest Explorer,
EBS,N-06,5.89,6/12/2025,Northwest Explorer,
EBS,N-07,5.27,6/12/2025,Northwest Explorer,
EBS,I-04,3.17,6/13/2025,Alaska Knight,
EBS,J-04,2.85,6/13/2025,Alaska Knight,
EBS,K-04,2.98,6/13/2025,Alaska Knight,
EBS,K-05,3.99,6/13/2025,Northwest Explorer,
EBS,K-06,4.09,6/13/2025,Northwest Explorer,
EBS,L-06,4.46,6/13/2025,Northwest Explorer,
EBS,M-06,4.37,6/13/2025,Northwest Explorer,
EBS,L-04,3.76,6/14/2025,Alaska Knight,
EBS,M-04,3.84,6/14/2025,Alaska Knight,
EBS,N-04,4.12,6/14/2025,Alaska Knight,
EBS,O-04,4.44,6/14/2025,Alaska Knight,
EBS,L-05,4.17,6/14/2025,Northwest Explorer,
EBS,M-05,4.08,6/14/2025,Northwest Explorer,
EBS,N-05,4.19,6/14/2025,Northwest Explorer,
EBS,L-02,2.63,6/15/2025,Alaska Knight,
EBS,M-02,2.46,6/15/2025,Alaska Knight,
EBS,N-02,3.15,6/15/2025,Alaska Knight,
EBS,O-02,3.86,6/15/2025,Alaska Knight,
EBS,L-03,3.26,6/15/2025,Northwest Explorer,
EBS,M-03,3.37,6/15/2025,Northwest Explorer,
EBS,N-03,3.92,6/15/2025,Northwest Explorer,
EBS,O-03,4.03,6/15/2025,Northwest Explorer,
