"SUBAREA","YEAR","MEAN_TEMPERATURE_200M","MEAN_GEAR_TEMPERATURE","MEAN_SURFACE_TEMPERATURE","SD_TEMPERATURE_200M","SD_GEAR_TEMPERATURE","SD_SURFACE_TEMPERATURE","N_200M","N_GEAR","N_SURFACE","SE_TEMPERATURE_200M","SE_GEAR_TEMPERATURE","SE_SURFACE_TEMPERATURE"
"Western Aleutians",1991,NA,4.55555555555556,8.60909090909091,NA,0.418661889569349,1.14097247198089,1,9,22,NA,0.139553963189783,0.243256148368357
"Western Aleutians",1994,3.85,4.18676470588235,7.64347826086957,0.0707106781186548,0.543867963499237,1.0601717758804,2,68,69,0.05,0.0659536782322625,0.127629683656817
"Western Aleutians",1997,NA,4.78369565217391,8.47282608695652,NA,0.668486427802923,1.19872672933396,0,92,92,NA,0.0696945278992168,0.124975900790812
"Western Aleutians",2000,3.55492013936214,3.68899082568807,6.3972972972973,0.132330096413845,0.338936094036883,1.05971346551444,40,109,111,0.0209232253828715,0.0324641899878714,0.100583550899962
"Western Aleutians",2002,3.84670121150197,3.87663551401869,5.53457943925234,0.266298157833434,0.312198364388502,0.750987124445354,31,107,107,0.0478285610668476,0.0301813550674739,0.07260066560048
"Western Aleutians",2004,4.13157894736842,4.36280991735537,8.12520325203252,0.20014219696073,0.532624356591172,1.54795441411757,38,121,123,0.0324673516192025,0.0484203960537429,0.139574349105923
"Western Aleutians",2006,4.11969696969697,4.19464285714286,6.88214285714286,0.174367544009889,0.370983422983696,0.913286737061622,44,112,112,0.0262868963225719,0.035054638490798,0.0862974850699531
"Western Aleutians",2010,4.0431746031746,4.3698275862069,7.88189655172414,0.25967861748503,0.500646508563409,1.58045668347343,31,116,116,0.0466396565232942,0.0464838613574213,0.14674171915589
"Western Aleutians",2012,3.77039026737152,3.99661016949153,7.49830508474576,0.156071669552711,0.507032965328573,1.35841681674224,40,118,118,0.024677097700586,0.0466761678319205,0.125052404201914
"Western Aleutians",2014,4.02071899342197,4.30746268656716,9.32985074626866,0.290348184058981,0.703549204789292,1.68282030772217,40,134,134,0.0459080788060087,0.0607773943860344,0.145373532976829
"Western Aleutians",2016,4.48509616126334,4.81777777777778,9.18507462686567,0.490110470858643,0.813217918570771,1.60039973684615,36,135,134,0.0816850784764405,0.0699906545658235,0.138253480097011
"Western Aleutians",2018,4.51717485548651,4.73720930232558,8.59365079365079,0.245196266620207,0.496089358042269,1.82277792533248,31,129,126,0.04403854952216,0.0436782324906813,0.162385964018303
"Western Aleutians",2022,4.40689127441557,4.66388888888889,9.33055555555556,0.414399902531245,0.563775380029783,1.98256222083988,31,108,108,0.0744284196539903,0.0542493112371131,0.190772138647848
"Western Aleutians",2024,3.8958806388563,4.12045454545455,7.52954545454545,0.251819089999511,0.481176501396673,1.26746729907796,28,88,88,0.0475893348226641,0.0512935873956286,0.135112468060366
"Central Aleutians",1991,NA,4.4027027027027,7.09714285714286,NA,0.529930019743952,1.15428154222685,1,37,140,NA,0.0871199585886138,0.0975545956567615
"Central Aleutians",1994,4.3,4.14526748971193,5.65819672131148,0.264575131106459,0.381937522546288,0.660818816671084,3,243,244,0.152752523165195,0.0245013034950798,0.042304589743757
"Central Aleutians",1997,4.46666666666667,4.51133603238866,6.34939271255061,0.163299316185545,0.478175135064497,0.881465448568376,6,247,247,0.0666666666666667,0.0304255552475424,0.0560863034013667
"Central Aleutians",2000,3.88650520955011,3.94583333333333,5.31902834008097,0.450021856933187,0.397564938162042,0.694638488189991,124,240,247,0.0404131557665676,0.0256627064089595,0.0441987885811821
"Central Aleutians",2002,4.15866712144974,4.17682926829268,5.90894308943089,0.419738387977398,0.391115238664234,1.43410403687623,108,246,246,0.0403893452146617,0.0249365968296525,0.0914351338022412
"Central Aleutians",2004,4.28280695221232,4.3510460251046,6.11694214876033,0.26201615515276,0.425437187365888,0.989866785936753,104,239,242,0.0256927978461631,0.027519243962336,0.0636310469824737
"Central Aleutians",2006,4.14296913580247,4.263,5.71641791044776,0.287082767154445,0.445672660820714,1.17472511868846,90,200,201,0.030261180706394,0.0315138160655779,0.0828587212305875
"Central Aleutians",2010,4.08240666886908,4.3491935483871,5.42056451612903,0.348596303749912,0.458654248287725,0.605458039104581,77,248,248,0.039726235727039,0.029124573890859,0.038446623929784
"Central Aleutians",2012,3.94040971509473,4.05148936170213,5.17393162393162,0.342964114919363,0.354259663346502,0.617800969749241,104,235,234,0.0336303983545368,0.0231093523551385,0.0403869128239478
"Central Aleutians",2014,4.45368136738405,4.62434782608696,6.36260869565217,0.334609757844838,0.493112617118232,0.937660460288629,94,230,230,0.0345123613446676,0.0325148830912855,0.0618274998189628
"Central Aleutians",2016,4.62702140052304,4.80167364016736,6.78247863247863,0.441243165463936,0.554202169160533,0.88501633648791,94,239,234,0.0455107575625988,0.0358483582312423,0.0578553278153879
"Central Aleutians",2018,4.52087014518078,4.65772357723577,5.93168724279835,0.26224582656542,0.387141935703975,0.634041243510976,81,246,243,0.0291384251739355,0.0246832682855118,0.0406737647353764
