"YEAR","AREA_KM2_MINUS1","AREA_KM2_0","AREA_KM2_1","AREA_KM2_2","AREA_SUM_KM2_LTE2","AREA_KM2_LTE1","AREA_KM2_LTE0","AVGBSBT_PLUSNW","AVGBSST_PLUSNW","AVGBSBT_STANDARD","AVGBSST_STANDARD","AVGBSBT","AVGBSST","AVGBSBT_NBS","AVGBSST_NBS"
1982,141,20864,103365,93180,217550,124370,21005,NA,NA,2.26856156774945,5.57083944683013,1.84069721558868,4.89569826503375,NA,NA
1983,0,15189,47913,102920,166022,63102,15189,NA,NA,3.02211181667236,8.58096298911574,3.00543180485478,8.40016618207258,NA,NA
1984,14462,63835,54957,71799,205053,133255,78298,NA,NA,2.33263061541736,7.23507572708154,2.03787217945637,6.6300636292851,NA,NA
1985,7090,33198,54768,120672,215728,95056,40288,NA,NA,2.36693793253167,6.62678001338205,2.21094544507569,6.04539501708184,NA,NA
1986,37751,41121,69418,110245,258535,148290,78872,NA,NA,1.85904218794074,5.67607465631966,1.5171977231122,4.97680396157683,NA,NA
1987,0,4148,35816,55334,95298,39964,4148,3.08157798954408,6.89504284568731,3.21991310828905,6.78843393500833,3.13194469870091,6.06133179578252,NA,NA
1988,21243,38854,45149,107285,212532,105247,60097,2.16750552811601,6.66087017347662,2.35716471506508,6.61191887914343,2.15894135902697,6.07057559335834,NA,NA
1989,0,8224,14712,80779,103715,22937,8224,2.8457371362395,6.80178673731189,2.96870601698079,6.66303228263455,2.90272691283288,5.9023806098708,NA,NA
1990,22957,50398,37826,65100,176282,111182,73355,2.26853828238313,7.22480865523237,2.44798510699199,7.12398158276929,2.37928445955737,6.55304223922288,NA,NA
1991,25913,42673,44146,59346,172079,112732,68586,2.46597549022411,7.9038677936532,2.69727134228678,7.75768796733689,2.79883681845025,7.18383418161672,NA,NA
1992,51448,54854,71161,72840,250303,177463,106302,1.85901039129696,6.93111742160021,2.01415358368978,6.83176533423117,1.76938330643278,6.23001268339315,NA,NA
