"YEAR","SUBAREA","MEAN_SURFACE_TEMPERATURE","MEAN_GEAR_TEMPERATURE","MEAN_200M_TEMPERATURE","SE_SURFACE_TEMPERATURE","SE_GEAR_TEMPERATURE","SE_200M_TEMPERATURE","LAST_UPDATE"
1991,"Western Aleutians",8.60909090909091,4.55555555555556,NA,0.243256148368357,0.139553963189783,NA,2025-08-14
1994,"Western Aleutians",7.64347826086957,4.18676470588235,3.85,0.127629683656817,0.0659536782322625,0.05,2025-08-14
1997,"Western Aleutians",8.47282608695652,4.78369565217391,NA,0.124975900790812,0.0696945278992168,NA,2025-08-14
2000,"Western Aleutians",6.3972972972973,3.68899082568807,3.52,0.100583550899962,0.0324641899878714,0.058309518948453,2025-08-14
2002,"Western Aleutians",5.53457943925234,3.87663551401869,3.86666666666667,0.07260066560048,0.0301813550674739,0.0333333333333334,2025-08-14
2004,"Western Aleutians",8.12520325203252,4.36280991735537,NA,0.139574349105923,0.0484203960537429,NA,2025-08-14
2006,"Western Aleutians",6.88214285714286,4.19464285714286,4.11969696969697,0.0862974850699531,0.035054638490798,0.0262868963225719,2025-08-14
2010,"Western Aleutians",7.88189655172414,4.3698275862069,4.0431746031746,0.14674171915589,0.0464838613574213,0.0466396565232942,2025-08-14
2012,"Western Aleutians",7.49830508474576,3.99661016949153,3.77039026737152,0.125052404201914,0.0466761678319205,0.024677097700586,2025-08-14
2014,"Western Aleutians",9.32985074626866,4.30746268656716,4.02071899342197,0.145373532976829,0.0607773943860344,0.0459080788060087,2025-08-14
2016,"Western Aleutians",9.18507462686567,4.81777777777778,4.48509616126334,0.138253480097011,0.0699906545658235,0.0816850784764405,2025-08-14
2018,"Western Aleutians",8.59365079365079,4.73720930232558,4.51717485548651,0.162385964018303,0.0436782324906813,0.04403854952216,2025-08-14
2022,"Western Aleutians",9.33055555555556,4.66388888888889,4.40689127441557,0.190772138647848,0.0542493112371131,0.0744284196539903,2025-08-14
2024,"Western Aleutians",7.52954545454545,4.12045454545455,3.8958806388563,0.135112468060366,0.0512935873956286,0.0475893348226641,2025-08-14
1991,"Central Aleutians",7.09714285714286,4.4027027027027,NA,0.0975545956567615,0.0871199585886138,NA,2025-08-14
1994,"Central Aleutians",5.65819672131148,4.14526748971193,4.3,0.042304589743757,0.0245013034950798,0.152752523165195,2025-08-14
1997,"Central Aleutians",6.34939271255061,4.51133603238866,4.46666666666667,0.0560863034013667,0.0304255552475424,0.0666666666666667,2025-08-14
2000,"Central Aleutians",5.31902834008097,3.94583333333333,3.78,0.0441987885811821,0.0256627064089595,0.104288975813316,2025-08-14
2002,"Central Aleutians",5.90894308943089,4.17682926829268,3.9875,0.0914351338022412,0.0249365968296525,0.15403791277289,2025-08-14
2004,"Central Aleutians",6.11694214876033,4.3510460251046,4.18666666666667,0.0636310469824737,0.027519243962336,0.0567925772033355,2025-08-14
2006,"Central Aleutians",5.71641791044776,4.263,4.14296913580247,0.0828587212305875,0.0315138160655779,0.030261180706394,2025-08-14
2010,"Central Aleutians",5.42056451612903,4.3491935483871,4.08240666886908,0.038446623929784,0.029124573890859,0.039726235727039,2025-08-14
2012,"Central Aleutians",5.17393162393162,4.05148936170213,3.94040971509473,0.0403869128239478,0.0231093523551385,0.0336303983545368,2025-08-14
2014,"Central Aleutians",6.36260869565217,4.62434782608696,4.45368136738405,0.0618274998189628,0.0325148830912855,0.0345123613446676,2025-08-14
2016,"Central Aleutians",6.78247863247863,4.80167364016736,4.62702140052304,0.0578553278153879,0.0358483582312423,0.0455107575625988,2025-08-14
2018,"Central Aleutians",5.93168724279835,4.65772357723577,4.52087014518078,0.0406737647353764,0.0246832682855118,0.0291384251739355,2025-08-14
2022,"Central Aleutians",6.08595041322314,4.58765432098765,4.44012962644126,0.0576675081889224,0.0296687155048702,0.0352170291625564,2025-08-14
2024,"Central Aleutians",5.3989010989011,4.27445652173913,4.23005612448686,0.0513847409648492,0.0429483138633172,0.0320641052682784,2025-08-14
1991,"Eastern Aleutians",7.26153846153846,4.7,NA,0.245894093718096,0.133229125944742,NA,2025-08-14
1994,"Eastern Aleutians",5.32539682539683,4.36984126984127,4,0.0638405693888193,0.0530500792605346,0,2025-08-14
1997,"Eastern Aleutians",6.064,4.836,NA,0.0779722608969867,0.0674164638040051,NA,2025-08-14
2000,"Eastern Aleutians",5.01551724137931,4.23157894736842,NA,0.0626497829712089,0.0581221325989497,NA,2025-08-14
2002,"Eastern Aleutians",5.15245901639344,4.30983606557377,NA,0.0643847111037885,0.0528791238380902,NA,2025-08-14
2004,"Eastern Aleutians",5.8377358490566,4.63018867924528,NA,0.0748596371648072,0.0756003982479075,NA,2025-08-14
2006,"Eastern Aleutians",5.86136363636364,4.4,4.11666666666667,0.127432604958299,0.0671056722442842,0.0715979233376404,2025-08-14
2010,"Eastern Aleutians",5.348,4.558,3.99624106634107,0.0859159532357534,0.0912985682879451,0.0947110378119386,2025-08-14
2012,"Eastern Aleutians",4.76,3.83272727272727,3.83963800904977,0.0787785542267729,0.0448757765718459,0.0600784821106305,2025-08-14
2014,"Eastern Aleutians",6.44651162790698,4.72790697674419,4.24850415668647,0.132124175510222,0.11083722370854,0.0861534387123029,2025-08-14
2016,"Eastern Aleutians",7.20697674418605,5.4046511627907,4.71009141116117,0.103290028551633,0.135378289085943,0.111566845782564,2025-08-14
2018,"Eastern Aleutians",6.06976744186047,4.86444444444444,4.41507946754671,0.0746000694527695,0.0833124552971035,0.0906019088466603,2025-08-14
2022,"Eastern Aleutians",6.31521739130435,4.57608695652174,4.28497133926679,0.135452984563261,0.0716395150864601,0.100665457921681,2025-08-14
2024,"Eastern Aleutians",5.40588235294118,4.36,4.28602789754363,0.11911297057346,0.151973018392502,0.0294750281065528,2025-08-14
