"YEAR","EBS_AREA_LTE2_KM2","NBS_AREA_LTE2_KM2"
1982,211325,NA
1983,161775,NA
1984,207725,NA
1985,205000,NA
1986,258075,NA
1987,94750,NA
1988,206075,NA
1989,106125,NA
1990,177750,NA
1991,174575,NA
1992,242175,NA
1993,133525,NA
1994,260150,NA
1995,274575,NA
1996,99425,NA
1997,173275,NA
1998,100700,NA
1999,386100,NA
2000,237150,NA
2001,175675,NA
2002,101725,NA
2003,47000,NA
2004,89600,NA
2005,85825,NA
2006,244525,NA
2007,281250,NA
2008,345425,NA
2009,320225,NA
2010,269300,123953.83887372
2011,168025,NA
2012,369000,NA
2013,258575,NA
2014,128200,NA
2015,122750,NA
2016,89375,NA
2017,169275,67759.4549824042
2018,6175,NA
2019,26700,59406.9036388402
2021,59250,88665.5450316799
2022,178725,80090.5884748257
2023,179700,83797.3420296618
2024,156950,NA
2025,110825,NA
